City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Cutro,IT,47.66,light rain,39.0353,16.9819,Gallella Viaggi - Agenzia Viaggi e Turismo
251,Margate,GB,40.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
252,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
253,Loiza,PR,78.8,few clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
254,Truro,GB,47.48,broken clouds,50.2653,-5.0544,Mannings Hotel
255,Osa,RU,36.86,overcast clouds,57.2829,55.4567,Гостиница Оса
256,Port-Gentil,GA,80.58,overcast clouds,-0.7193,8.7815,Fengshui Residence
257,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
258,Westport,US,43.9,broken clouds,41.1415,-73.3579,The Inn at Longshore
259,Petropavlovsk-Kamchatskiy,RU,32.59,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
260,Mitsamiouli,KM,81.41,light rain,-11.3847,43.2844,Foyer ADM
262,Coquimbo,CL,61.39,scattered clouds,-29.9533,-71.3436,Hotel San Juan
264,Sitka,US,40.89,broken clouds,57.0531,-135.33,Westmark Sitka
265,Bonthe,SL,76.42,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
266,Roald,NO,37.76,light snow,62.5833,6.1333,Flem Cabins
267,Pundaguitan,PH,81.57,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
268,Apastovo,RU,32.4,overcast clouds,55.2029,48.5109,Avtovokzal
269,Bengkulu,ID,78.84,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
270,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
272,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
273,Itarema,BR,76.8,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
274,Zharkovskiy,RU,23.92,broken clouds,55.849,32.2697,"Gostinitsa ""Mezha"""
275,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
276,Revda,RU,40.62,broken clouds,56.801,59.9303,Gostinitsa Metallurg
277,Komsomolskiy,UZ,54.32,overcast clouds,40.4272,71.7189,Ikathouse
278,Bacsbokod,HU,29.75,overcast clouds,46.125,19.1562,Bácsalmás
279,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
280,Ibb,YE,62.35,clear sky,13.9667,44.1833,Hotel Amenities
281,Sinnamary,GF,77.43,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
282,Tautira,PF,82.44,few clouds,-17.7333,-149.15,Pension Oaoa
283,Keffi,NG,82.49,overcast clouds,8.8486,7.8736,Imam Family
284,Sagauli,IN,77.29,clear sky,26.7833,84.7333,Mohammad saukhat ali
286,Sorland,NO,31.89,light snow,67.667,12.6934,Sjybrygga fiskecamp
287,Karratha,AU,85.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
288,Rio Cuarto,AR,56.97,clear sky,-33.1307,-64.3499,Hotel Menossi
289,Maniitsoq,GL,28.24,clear sky,65.4167,-52.9,Hotel Heilmann Lyberth
290,Grammichele,IT,49.95,overcast clouds,37.2123,14.6397,Valle Verde Di Paolo E Maria Teresa Filia Snc
291,Pangnirtung,CA,23.59,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
292,Ardmore,US,78.58,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
294,Port Hueneme,US,65.07,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
295,Manaus,BR,79.29,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
297,Necochea,AR,50.63,clear sky,-38.5473,-58.7368,dyd -mar Hotel
298,Sao Jose Da Coroa Grande,BR,78.28,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
299,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
300,Pangkalanbuun,ID,81.57,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
301,Berlevag,NO,22.8,snow,70.8578,29.0864,Kvitbrakka
302,Muros,ES,45.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
303,Dijkot,PK,71.44,clear sky,31.2167,72.9833,Al-Siddiq Food Point
304,Santa Lucia,ES,55.76,broken clouds,27.9117,-15.5407,Las Tirajanas
305,Amahai,ID,83.5,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
306,Zambezi,ZM,64.53,light rain,-13.5432,23.1047,Royal Kutachika Lodge
308,Hai Duong,VN,68.0,clear sky,20.9333,106.3167,Hai Khanh Hotel
309,Arroyo,ES,31.59,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
310,Rocha,UY,63.19,clear sky,-34.4833,-54.3333,Hotel Arrarte
311,Polyarnyy,RU,14.04,overcast clouds,69.1989,33.4478,Hotel Tatyana
312,Strathmore,CA,50.86,overcast clouds,51.0501,-113.3852,Wheatland Hotel
313,Omboue,GA,76.71,overcast clouds,-1.5746,9.2618,Hotel Olako
314,Cam Ranh,VN,78.76,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
316,College,US,28.22,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
317,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
318,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
319,San Policarpo,PH,81.88,scattered clouds,12.1791,125.5072,Agapita M. Nicart
320,Puerto Del Rosario,ES,62.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
321,Moron,AR,64.78,clear sky,-34.6534,-58.6198,Hotel Morón
322,Karpathos,GR,57.16,overcast clouds,35.507,27.2132,Alex
325,Manapa,PH,82.29,overcast clouds,8.9778,125.4394,Orange View Beach Resort
326,Usak,TR,44.24,broken clouds,38.5,29.4167,Bekdemir Koyu Muhtarligi
